Date,open,high,low,close,spread
2015-01-01 22:00:00+00:00,1.21052,1.2107749,1.2100401,1.21019,8.901347e-05
2015-01-01 23:00:00+00:00,1.2101951,1.21022,1.20785,1.20874,7.7051474e-05
2015-01-02 00:00:00+00:00,1.20875,1.208935,1.2067101,1.2067649,5.124875e-05
2015-01-02 01:00:00+00:00,1.2067649,1.207245,1.2052,1.20672,4.2470543e-05
2015-01-02 02:00:00+00:00,1.20672,1.20688,1.204795,1.205895,4.1868458e-05
2015-01-02 03:00:00+00:00,1.2058849,1.206285,1.2055349,1.205755,4.44291e-05
2015-01-02 04:00:00+00:00,1.20576,1.2060001,1.2049301,1.20531,4.2833253e-05
2015-01-02 05:00:00+00:00,1.205305,1.20557,1.20463,1.20521,3.6513607e-05
2015-01-02 06:00:00+00:00,1.20521,1.205785,1.20487,1.205475,4.136987e-05
2015-01-02 07:00:00+00:00,1.2054701,1.20584,1.20351,1.2056301,3.461659e-05
2015-01-02 08:00:00+00:00,1.205655,1.206985,1.20451,1.2047501,3.139186e-05
2015-01-02 09:00:00+00:00,1.2047501,1.206085,1.203905,1.205835,3.087849e-05
2015-01-02 10:00:00+00:00,1.2058101,1.20582,1.204245,1.2051051,2.8681548e-05
2015-01-02 11:00:00+00:00,1.2051101,1.205845,1.2045,1.205445,2.7650254e-05
2015-01-02 12:00:00+00:00,1.205435,1.205495,1.203565,1.203835,2.7745993e-05
2015-01-02 13:00:00+00:00,1.20384,1.204445,1.202575,1.203125,2.6579703e-05
2015-01-02 14:00:00+00:00,1.203125,1.20338,1.20088,1.201515,2.6018346e-05
2015-01-02 15:00:00+00:00,1.20151,1.203235,1.201215,1.203155,2.5679878e-05
2015-01-02 16:00:00+00:00,1.203155,1.203205,1.200765,1.201405,2.835522e-05
2015-01-02 17:00:00+00:00,1.2014,1.201605,1.20041,1.20099,2.9659574e-05
2015-01-02 18:00:00+00:00,1.201005,1.201575,1.200825,1.20122,3.154981e-05
2015-01-02 19:00:00+00:00,1.201215,1.201225,1.2004349,1.200585,3.098436e-05
2015-01-02 20:00:00+00:00,1.20057,1.2009051,1.200175,1.2003651,3.556516e-05
2015-01-02 21:00:00+00:00,1.2003701,1.200635,1.2000799,1.200245,4.8766025e-05
2015-01-02 22:00:00+00:00,,,,,
2015-01-02 23:00:00+00:00,,,,,
2015-01-03 00:00:00+00:00,,,,,
2015-01-03 01:00:00+00:00,,,,,
2015-01-03 02:00:00+00:00,,,,,
2015-01-03 03:00:00+00:00,,,,,
2015-01-03 04:00:00+00:00,,,,,
2015-01-03 05:00:00+00:00,,,,,
2015-01-03 06:00:00+00:00,,,,,
2015-01-03 07:00:00+00:00,,,,,
2015-01-03 08:00:00+00:00,,,,,
2015-01-03 09:00:00+00:00,,,,,
2015-01-03 10:00:00+00:00,,,,,
2015-01-03 11:00:00+00:00,,,,,
2015-01-03 12:00:00+00:00,,,,,
2015-01-03 13:00:00+00:00,,,,,
2015-01-03 14:00:00+00:00,,,,,
2015-01-03 15:00:00+00:00,,,,,
2015-01-03 16:00:00+00:00,,,,,
2015-01-03 17:00:00+00:00,,,,,
2015-01-03 18:00:00+00:00,,,,,
2015-01-03 19:00:00+00:00,,,,,
2015-01-03 20:00:00+00:00,,,,,
2015-01-03 21:00:00+00:00,,,,,
2015-01-03 22:00:00+00:00,,,,,
2015-01-03 23:00:00+00:00,,,,,
2015-01-04 00:00:00+00:00,,,,,
2015-01-04 01:00:00+00:00,,,,,
2015-01-04 02:00:00+00:00,,,,,
2015-01-04 03:00:00+00:00,,,,,
2015-01-04 04:00:00+00:00,,,,,
2015-01-04 05:00:00+00:00,,,,,
2015-01-04 06:00:00+00:00,,,,,
2015-01-04 07:00:00+00:00,,,,,
2015-01-04 08:00:00+00:00,,,,,
2015-01-04 09:00:00+00:00,,,,,
2015-01-04 10:00:00+00:00,,,,,
2015-01-04 11:00:00+00:00,,,,,
2015-01-04 12:00:00+00:00,,,,,
2015-01-04 13:00:00+00:00,,,,,
2015-01-04 14:00:00+00:00,,,,,
2015-01-04 15:00:00+00:00,,,,,
2015-01-04 16:00:00+00:00,,,,,
2015-01-04 17:00:00+00:00,,,,,
2015-01-04 18:00:00+00:00,,,,,
2015-01-04 19:00:00+00:00,,,,,
2015-01-04 20:00:00+00:00,,,,,
2015-01-04 21:00:00+00:00,,,,,
2015-01-04 22:00:00+00:00,1.195025,1.195405,1.18706,1.19456,0.00021937765
2015-01-04 23:00:00+00:00,1.194555,1.1949949,1.193075,1.19471,7.757217e-05
2015-01-05 00:00:00+00:00,1.194715,1.1976249,1.194715,1.1963351,4.329332e-05
2015-01-05 01:00:00+00:00,1.19632,1.197335,1.195155,1.1955,3.8649112e-05
2015-01-05 02:00:00+00:00,1.19551,1.196535,1.195485,1.195625,3.0678988e-05
2015-01-05 03:00:00+00:00,1.1956201,1.195675,1.194415,1.194425,2.9605635e-05
2015-01-05 04:00:00+00:00,1.19442,1.19453,1.19357,1.1941199,2.8487551e-05
2015-01-05 05:00:00+00:00,1.1941249,1.19449,1.19261,1.1935301,3.0239946e-05
2015-01-05 06:00:00+00:00,1.1935251,1.19477,1.19312,1.1947451,3.100382e-05
2015-01-05 07:00:00+00:00,1.19476,1.1961,1.19406,1.19568,2.7511654e-05
2015-01-05 08:00:00+00:00,1.19555,1.19764,1.195185,1.195535,2.6437785e-05
2015-01-05 09:00:00+00:00,1.19558,1.19608,1.19434,1.1954501,2.7947086e-05
2015-01-05 10:00:00+00:00,1.195455,1.1957049,1.191445,1.192065,2.5860776e-05
2015-01-05 11:00:00+00:00,1.19207,1.1925349,1.190025,1.1905401,2.6223324e-05
2015-01-05 12:00:00+00:00,1.1905351,1.19196,1.18874,1.189995,2.6853573e-05
2015-01-05 13:00:00+00:00,1.18999,1.19287,1.189305,1.191295,2.6120364e-05
2015-01-05 14:00:00+00:00,1.1913149,1.193575,1.1908801,1.1934149,2.4830719e-05
2015-01-05 15:00:00+00:00,1.1934199,1.194175,1.19172,1.193695,2.328656e-05
2015-01-05 16:00:00+00:00,1.19368,1.193975,1.191555,1.191795,2.4444946e-05
2015-01-05 17:00:00+00:00,1.1918,1.1928949,1.191255,1.19239,2.6260244e-05
2015-01-05 18:00:00+00:00,1.192335,1.19346,1.1914899,1.193455,2.7420347e-05
2015-01-05 19:00:00+00:00,1.193475,1.1940401,1.19333,1.1939,2.6849524e-05
2015-01-05 20:00:00+00:00,1.1939,1.19497,1.19368,1.19368,2.7231283e-05
2015-01-05 21:00:00+00:00,1.193675,1.19392,1.19325,1.19327,3.386461e-05
2015-01-05 22:00:00+00:00,1.193285,1.193615,1.1927199,1.19329,6.354943e-05
2015-01-05 23:00:00+00:00,1.19327,1.1941,1.1931701,1.1937599,4.0058287e-05
2015-01-06 00:00:00+00:00,1.1937649,1.194345,1.1934149,1.194325,2.604082e-05
2015-01-06 01:00:00+00:00,1.194315,1.194655,1.193635,1.194105,2.7253156e-05
2015-01-06 02:00:00+00:00,1.1941099,1.195495,1.194105,1.19462,2.7778658e-05
2015-01-06 03:00:00+00:00,1.19462,1.19498,1.194075,1.19443,3.298604e-05
2015-01-06 04:00:00+00:00,1.194445,1.19508,1.19428,1.19489,3.0274443e-05
2015-01-06 05:00:00+00:00,1.1949,1.195845,1.1947,1.195735,2.8533013e-05
2015-01-06 06:00:00+00:00,1.19574,1.19688,1.195325,1.196025,2.8774035e-05
2015-01-06 07:00:00+00:00,1.19603,1.19624,1.194175,1.194245,2.5519746e-05
2015-01-06 08:00:00+00:00,1.194235,1.19526,1.19221,1.1945,2.6926262e-05
2015-01-06 09:00:00+00:00,1.194505,1.194655,1.190505,1.190805,2.4893985e-05
2015-01-06 10:00:00+00:00,1.1908,1.19146,1.18957,1.189825,2.405261e-05
2015-01-06 11:00:00+00:00,1.189815,1.191955,1.18879,1.189145,2.455242e-05
2015-01-06 12:00:00+00:00,1.189165,1.19108,1.1884351,1.1907101,2.6639456e-05
2015-01-06 13:00:00+00:00,1.1907201,1.191615,1.18957,1.190765,2.540489e-05
2015-01-06 14:00:00+00:00,1.190775,1.19092,1.18875,1.190515,2.4558716e-05
2015-01-06 15:00:00+00:00,1.19056,1.19335,1.19056,1.191915,2.539654e-05
2015-01-06 16:00:00+00:00,1.19191,1.194035,1.191625,1.193725,2.7625689e-05
2015-01-06 17:00:00+00:00,1.193675,1.195845,1.192145,1.19224,2.847236e-05
2015-01-06 18:00:00+00:00,1.192245,1.19339,1.192245,1.1933451,2.5843568e-05
2015-01-06 19:00:00+00:00,1.193335,1.19365,1.191195,1.1912999,2.5505453e-05
2015-01-06 20:00:00+00:00,1.1913099,1.19148,1.18889,1.18986,2.783966e-05
2015-01-06 21:00:00+00:00,1.189855,1.189945,1.18876,1.1889551,3.5182646e-05
2015-01-06 22:00:00+00:00,1.1889601,1.189105,1.1847601,1.18732,0.000102318154
2015-01-06 23:00:00+00:00,1.187345,1.18793,1.18698,1.18723,4.3272055e-05
2015-01-07 00:00:00+00:00,1.18724,1.1881449,1.186365,1.18696,2.4940111e-05
2015-01-07 01:00:00+00:00,1.186975,1.18807,1.18681,1.1877251,2.644603e-05
2015-01-07 02:00:00+00:00,1.1877251,1.18793,1.186955,1.187015,2.8716344e-05
2015-01-07 03:00:00+00:00,1.18701,1.1878049,1.1866801,1.187615,2.6213835e-05
2015-01-07 04:00:00+00:00,1.18762,1.187795,1.18715,1.18757,2.7133761e-05
2015-01-07 05:00:00+00:00,1.187565,1.18804,1.187415,1.187855,2.792771e-05
2015-01-07 06:00:00+00:00,1.18782,1.18801,1.18549,1.1866901,2.843201e-05
2015-01-07 07:00:00+00:00,1.1866851,1.188945,1.186305,1.188735,2.8768296e-05
2015-01-07 08:00:00+00:00,1.188755,1.189675,1.186005,1.18686,2.773224e-05
2015-01-07 09:00:00+00:00,1.1868501,1.187955,1.185215,1.185375,2.701467e-05
2015-01-07 10:00:00+00:00,1.185375,1.1876299,1.18417,1.18503,2.8551809e-05
2015-01-07 11:00:00+00:00,1.185035,1.18549,1.18191,1.182065,2.775909e-05
2015-01-07 12:00:00+00:00,1.182065,1.184535,1.18199,1.18363,2.6972843e-05
2015-01-07 13:00:00+00:00,1.183635,1.1839,1.18191,1.18301,2.6942585e-05
2015-01-07 14:00:00+00:00,1.18301,1.183095,1.18085,1.181925,2.2519818e-05
2015-01-07 15:00:00+00:00,1.18194,1.183115,1.180225,1.180245,2.2059754e-05
2015-01-07 16:00:00+00:00,1.18024,1.18277,1.18024,1.182055,2.3980074e-05
2015-01-07 17:00:00+00:00,1.182045,1.18353,1.181775,1.18295,2.7192002e-05
2015-01-07 18:00:00+00:00,1.18294,1.18372,1.182595,1.1835201,2.8977995e-05
2015-01-07 19:00:00+00:00,1.1835251,1.1858699,1.18086,1.185035,3.604592e-05
2015-01-07 20:00:00+00:00,1.185,1.18505,1.18313,1.18333,3.0612144e-05
2015-01-07 21:00:00+00:00,1.1833351,1.18417,1.183325,1.1839249,3.9188744e-05
2015-01-07 22:00:00+00:00,1.1839099,1.1842,1.18337,1.18338,6.827525e-05
2015-01-07 23:00:00+00:00,1.183375,1.18373,1.18314,1.183375,4.9574443e-05
2015-01-08 00:00:00+00:00,1.183385,1.18476,1.1832349,1.183815,2.6851498e-05
2015-01-08 01:00:00+00:00,1.183875,1.18407,1.182565,1.182595,2.7188693e-05
2015-01-08 02:00:00+00:00,1.18259,1.18273,1.18189,1.1822,2.5057707e-05
2015-01-08 03:00:00+00:00,1.182205,1.18313,1.18175,1.1827099,2.4406781e-05
2015-01-08 04:00:00+00:00,1.18272,1.182925,1.182065,1.18227,2.4906161e-05
2015-01-08 05:00:00+00:00,1.18227,1.18269,1.18171,1.182145,2.7720973e-05
2015-01-08 06:00:00+00:00,1.18214,1.18241,1.1818,1.18213,2.708589e-05
2015-01-08 07:00:00+00:00,1.182115,1.1821799,1.180375,1.18203,2.6753583e-05
2015-01-08 08:00:00+00:00,1.182015,1.18229,1.17919,1.179455,2.4270792e-05
2015-01-08 09:00:00+00:00,1.17942,1.18079,1.178025,1.17816,2.4187913e-05
2015-01-08 10:00:00+00:00,1.17816,1.17864,1.17626,1.176905,2.3306184e-05
2015-01-08 11:00:00+00:00,1.176905,1.1775,1.17637,1.17736,2.4056542e-05
2015-01-08 12:00:00+00:00,1.177325,1.17792,1.1754401,1.1776149,2.2847391e-05
2015-01-08 13:00:00+00:00,1.177615,1.17889,1.17618,1.17876,2.3076795e-05
2015-01-08 14:00:00+00:00,1.17875,1.17989,1.17796,1.17979,2.1755195e-05
2015-01-08 15:00:00+00:00,1.1798,1.179835,1.17723,1.17922,2.2766126e-05
2015-01-08 16:00:00+00:00,1.17924,1.181455,1.17913,1.180985,2.2926843e-05
2015-01-08 17:00:00+00:00,1.180985,1.1819301,1.180325,1.1817,2.4404097e-05
2015-01-08 18:00:00+00:00,1.181695,1.181715,1.17963,1.17998,2.3646187e-05
2015-01-08 19:00:00+00:00,1.179975,1.1800051,1.17803,1.1784251,2.4800736e-05
2015-01-08 20:00:00+00:00,1.1784201,1.17918,1.17834,1.1788499,2.5270167e-05
2015-01-08 21:00:00+00:00,1.1788399,1.179655,1.178815,1.17924,3.773009e-05
2015-01-08 22:00:00+00:00,1.179255,1.1795149,1.178705,1.179065,9.257192e-05
2015-01-08 23:00:00+00:00,1.17906,1.17942,1.17871,1.17921,4.974834e-05
2015-01-09 00:00:00+00:00,1.17922,1.179715,1.179035,1.179605,2.7155134e-05
2015-01-09 01:00:00+00:00,1.179615,1.18109,1.17953,1.18011,2.6750386e-05
2015-01-09 02:00:00+00:00,1.180105,1.180905,1.180005,1.18065,2.489569e-05
2015-01-09 03:00:00+00:00,1.180675,1.18081,1.18012,1.18033,2.5393705e-05
2015-01-09 04:00:00+00:00,1.18034,1.181275,1.18034,1.18058,2.5990923e-05
2015-01-09 05:00:00+00:00,1.18058,1.181495,1.18058,1.181065,2.6827329e-05
2015-01-09 06:00:00+00:00,1.181045,1.181175,1.17929,1.17929,2.7797223e-05
2015-01-09 07:00:00+00:00,1.179265,1.17995,1.17852,1.179335,2.5934592e-05
2015-01-09 08:00:00+00:00,1.179345,1.180845,1.17923,1.1805351,2.3970602e-05
2015-01-09 09:00:00+00:00,1.18057,1.18199,1.179785,1.1815851,2.3658517e-05
2015-01-09 10:00:00+00:00,1.1815851,1.181985,1.180615,1.181335,2.3921895e-05
2015-01-09 11:00:00+00:00,1.1813099,1.181995,1.180825,1.180955,2.2866121e-05
2015-01-09 12:00:00+00:00,1.180955,1.1818,1.180915,1.18172,2.2726968e-05
2015-01-09 13:00:00+00:00,1.18171,1.18325,1.176295,1.1787701,3.1256237e-05
2015-01-09 14:00:00+00:00,1.1787701,1.17967,1.177295,1.17835,2.175854e-05
2015-01-09 15:00:00+00:00,1.17838,1.18381,1.17838,1.1832349,2.4640005e-05
2015-01-09 16:00:00+00:00,1.18323,1.184475,1.182265,1.18297,2.4832834e-05
2015-01-09 17:00:00+00:00,1.1829801,1.1843901,1.1828849,1.1830599,2.7792878e-05
2015-01-09 18:00:00+00:00,1.183045,1.1842949,1.183045,1.18384,2.7003172e-05
2015-01-09 19:00:00+00:00,1.183865,1.18462,1.1831601,1.18417,2.7635999e-05
2015-01-09 20:00:00+00:00,1.184165,1.184375,1.18353,1.18432,3.0719155e-05
2015-01-09 21:00:00+00:00,1.184315,1.18443,1.183195,1.184155,7.402815e-05
2015-01-09 22:00:00+00:00,,,,,
2015-01-09 23:00:00+00:00,,,,,
2015-01-10 00:00:00+00:00,,,,,
2015-01-10 01:00:00+00:00,,,,,
2015-01-10 02:00:00+00:00,,,,,
2015-01-10 03:00:00+00:00,,,,,
2015-01-10 04:00:00+00:00,,,,,
2015-01-10 05:00:00+00:00,,,,,
2015-01-10 06:00:00+00:00,,,,,
2015-01-10 07:00:00+00:00,,,,,
2015-01-10 08:00:00+00:00,,,,,
2015-01-10 09:00:00+00:00,,,,,
2015-01-10 10:00:00+00:00,,,,,
2015-01-10 11:00:00+00:00,,,,,
2015-01-10 12:00:00+00:00,,,,,
2015-01-10 13:00:00+00:00,,,,,
2015-01-10 14:00:00+00:00,,,,,
2015-01-10 15:00:00+00:00,,,,,
2015-01-10 16:00:00+00:00,,,,,
2015-01-10 17:00:00+00:00,,,,,
2015-01-10 18:00:00+00:00,,,,,
2015-01-10 19:00:00+00:00,,,,,
2015-01-10 20:00:00+00:00,,,,,
2015-01-10 21:00:00+00:00,,,,,
2015-01-10 22:00:00+00:00,,,,,
2015-01-10 23:00:00+00:00,,,,,
2015-01-11 00:00:00+00:00,,,,,
2015-01-11 01:00:00+00:00,,,,,
2015-01-11 02:00:00+00:00,,,,,
2015-01-11 03:00:00+00:00,,,,,
2015-01-11 04:00:00+00:00,,,,,
2015-01-11 05:00:00+00:00,,,,,
2015-01-11 06:00:00+00:00,,,,,
2015-01-11 07:00:00+00:00,,,,,
2015-01-11 08:00:00+00:00,,,,,
2015-01-11 09:00:00+00:00,,,,,
2015-01-11 10:00:00+00:00,,,,,
2015-01-11 11:00:00+00:00,,,,,
2015-01-11 12:00:00+00:00,,,,,
2015-01-11 13:00:00+00:00,,,,,
2015-01-11 14:00:00+00:00,,,,,
2015-01-11 15:00:00+00:00,,,,,
2015-01-11 16:00:00+00:00,,,,,
2015-01-11 17:00:00+00:00,,,,,
2015-01-11 18:00:00+00:00,,,,,
2015-01-11 19:00:00+00:00,,,,,
2015-01-11 20:00:00+00:00,,,,,
2015-01-11 21:00:00+00:00,,,,,
2015-01-11 22:00:00+00:00,1.1848149,1.18696,1.1846349,1.186715,0.00010331889
2015-01-11 23:00:00+00:00,1.186715,1.186995,1.185715,1.186985,4.287743e-05
2015-01-12 00:00:00+00:00,1.186985,1.186985,1.186135,1.186695,2.7057304e-05
2015-01-12 01:00:00+00:00,1.18669,1.18672,1.1850951,1.18571,2.685623e-05
2015-01-12 02:00:00+00:00,1.185705,1.185835,1.18469,1.18477,2.7961343e-05
2015-01-12 03:00:00+00:00,1.18478,1.186295,1.184545,1.1855199,2.6957705e-05
2015-01-12 04:00:00+00:00,1.185525,1.185715,1.185005,1.18531,2.6708938e-05
2015-01-12 05:00:00+00:00,1.185305,1.18631,1.185185,1.186165,3.0576797e-05
2015-01-12 06:00:00+00:00,1.18617,1.18709,1.1856151,1.185635,2.7394042e-05
2015-01-12 07:00:00+00:00,1.185645,1.1858649,1.18501,1.185435,2.606337e-05
2015-01-12 08:00:00+00:00,1.185435,1.1854451,1.18102,1.18154,2.67816e-05
2015-01-12 09:00:00+00:00,1.18155,1.1824551,1.1805301,1.181325,2.3963574e-05
2015-01-12 10:00:00+00:00,1.1813099,1.18153,1.179305,1.179525,2.2703976e-05
2015-01-12 11:00:00+00:00,1.17953,1.18085,1.17884,1.179915,2.182216e-05
2015-01-12 12:00:00+00:00,1.17992,1.180435,1.17863,1.179045,2.2930983e-05
2015-01-12 13:00:00+00:00,1.17903,1.1826301,1.178915,1.182385,2.2367169e-05
2015-01-12 14:00:00+00:00,1.18238,1.184495,1.181025,1.183985,2.3041903e-05
2015-01-12 15:00:00+00:00,1.18399,1.184325,1.181635,1.18167,2.3968285e-05
2015-01-12 16:00:00+00:00,1.181675,1.18322,1.180925,1.18313,2.1943817e-05
2015-01-12 17:00:00+00:00,1.18313,1.18313,1.18173,1.18261,2.4179522e-05
2015-01-12 18:00:00+00:00,1.182605,1.1845,1.18255,1.18417,2.4148618e-05
2015-01-12 19:00:00+00:00,1.18417,1.1846,1.1837599,1.18395,2.4944438e-05
2015-01-12 20:00:00+00:00,1.183945,1.1840401,1.183325,1.183735,2.4894289e-05
2015-01-12 21:00:00+00:00,1.183715,1.183755,1.183265,1.18338,3.5035588e-05
2015-01-12 22:00:00+00:00,1.1833899,1.18344,1.18291,1.182965,6.701769e-05
2015-01-12 23:00:00+00:00,1.182945,1.18319,1.1827099,1.18319,3.8546907e-05
2015-01-13 00:00:00+00:00,1.18321,1.184325,1.18232,1.1842,2.7944798e-05
2015-01-13 01:00:00+00:00,1.1842151,1.18483,1.183555,1.18443,2.6022786e-05
2015-01-13 02:00:00+00:00,1.1843901,1.184625,1.183835,1.184535,2.6047086e-05
2015-01-13 03:00:00+00:00,1.1845601,1.1859701,1.18453,1.184595,2.6861266e-05
2015-01-13 04:00:00+00:00,1.184605,1.184805,1.18326,1.18363,2.8392637e-05
2015-01-13 05:00:00+00:00,1.183635,1.183835,1.18237,1.1828101,2.8651577e-05
2015-01-13 06:00:00+00:00,1.182795,1.183505,1.181995,1.183025,2.8075972e-05
2015-01-13 07:00:00+00:00,1.183025,1.185225,1.18292,1.185035,2.6304762e-05
2015-01-13 08:00:00+00:00,1.18504,1.18505,1.18174,1.18213,2.508444e-05
2015-01-13 09:00:00+00:00,1.1821251,1.1826301,1.179415,1.18084,2.3854594e-05
2015-01-13 10:00:00+00:00,1.180825,1.1811,1.17896,1.180215,2.3115092e-05
2015-01-13 11:00:00+00:00,1.18023,1.18102,1.17866,1.17932,2.4666522e-05
2015-01-13 12:00:00+00:00,1.1793101,1.179845,1.177565,1.1780701,2.3765171e-05
2015-01-13 13:00:00+00:00,1.17809,1.179395,1.17672,1.17698,2.306519e-05
2015-01-13 14:00:00+00:00,1.176985,1.177985,1.17563,1.176155,2.264749e-05
2015-01-13 15:00:00+00:00,1.1761451,1.17958,1.17532,1.178125,2.1971486e-05
2015-01-13 16:00:00+00:00,1.178145,1.17999,1.17717,1.17783,2.1702095e-05
2015-01-13 17:00:00+00:00,1.17783,1.179615,1.177355,1.178445,2.4260942e-05
2015-01-13 18:00:00+00:00,1.178475,1.178795,1.1765699,1.17669,2.4179888e-05
2015-01-13 19:00:00+00:00,1.17671,1.17805,1.17608,1.176425,2.523717e-05
2015-01-13 20:00:00+00:00,1.17642,1.1774449,1.17589,1.177155,2.5720221e-05
2015-01-13 21:00:00+00:00,1.17714,1.177775,1.17707,1.177305,4.0294908e-05
2015-01-13 22:00:00+00:00,1.177285,1.17777,1.17682,1.17759,8.276262e-05
2015-01-13 23:00:00+00:00,1.1775949,1.1779699,1.17757,1.1777201,5.1124392e-05
2015-01-14 00:00:00+00:00,1.1777251,1.1782401,1.177055,1.1770899,2.6613512e-05
2015-01-14 01:00:00+00:00,1.17708,1.177385,1.17643,1.177385,2.597522e-05
2015-01-14 02:00:00+00:00,1.17739,1.178005,1.17678,1.17793,2.6038764e-05
2015-01-14 03:00:00+00:00,1.17794,1.177955,1.17736,1.1774,2.5523022e-05
2015-01-14 04:00:00+00:00,1.177395,1.178695,1.1773651,1.17858,2.8923578e-05
2015-01-14 05:00:00+00:00,1.17859,1.179475,1.178475,1.1791899,2.779233e-05
2015-01-14 06:00:00+00:00,1.179175,1.179535,1.178525,1.17857,2.8056173e-05
