,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,59,Bull,1.1235,1.1219,1.1234,149,Bear,1.1371,1.1362,1.1365,176,Bull,1.1281,1.1255,1.1279,254,Bear,1.1452,1.1426,1.1427,284,Bull,1.1384,1.1371,1.1382,321,Bear,1.1468,1.1443,1.1458,2020-07-03 18:00:00,2020-07-09 12:00:00,2020-07-10 15:00:00,2020-07-15 21:00:00,2020-07-17 03:00:00,2020-07-20 16:00:00,326,1.1429,1.1403,1.1419,2020-07-20 21:00:00
1,59,Bull,1.1235,1.1219,1.1234,209,Bear,1.1375,1.1358,1.1368,224,Bull,1.1344,1.1325,1.1331,254,Bear,1.1452,1.1426,1.1427,284,Bull,1.1384,1.1371,1.1382,321,Bear,1.1468,1.1443,1.1458,2020-07-03 18:00:00,2020-07-14 00:00:00,2020-07-14 15:00:00,2020-07-15 21:00:00,2020-07-17 03:00:00,2020-07-20 16:00:00,326,1.1429,1.1403,1.1419,2020-07-20 21:00:00
2,106,Bull,1.1275,1.1259,1.1274,149,Bear,1.1371,1.1362,1.1365,176,Bull,1.1281,1.1255,1.1279,254,Bear,1.1452,1.1426,1.1427,284,Bull,1.1384,1.1371,1.1382,321,Bear,1.1468,1.1443,1.1458,2020-07-07 17:00:00,2020-07-09 12:00:00,2020-07-10 15:00:00,2020-07-15 21:00:00,2020-07-17 03:00:00,2020-07-20 16:00:00,326,1.1429,1.1403,1.1419,2020-07-20 21:00:00
3,176,Bull,1.1281,1.1255,1.1279,209,Bear,1.1375,1.1358,1.1368,224,Bull,1.1344,1.1325,1.1331,254,Bear,1.1452,1.1426,1.1427,284,Bull,1.1384,1.1371,1.1382,321,Bear,1.1468,1.1443,1.1458,2020-07-10 15:00:00,2020-07-14 00:00:00,2020-07-14 15:00:00,2020-07-15 21:00:00,2020-07-17 03:00:00,2020-07-20 16:00:00,326,1.1429,1.1403,1.1419,2020-07-20 21:00:00
4,106,Bull,1.1275,1.1259,1.1274,149,Bear,1.1371,1.1362,1.1365,176,Bull,1.1281,1.1255,1.1279,254,Bear,1.1452,1.1426,1.1427,284,Bull,1.1384,1.1371,1.1382,364,Bear,1.1547,1.154,1.1541,2020-07-07 17:00:00,2020-07-09 12:00:00,2020-07-10 15:00:00,2020-07-15 21:00:00,2020-07-17 03:00:00,2020-07-22 11:00:00,366,1.1544,1.1535,1.154,2020-07-22 13:00:00
5,106,Bull,1.1275,1.1259,1.1274,149,Bear,1.1371,1.1362,1.1365,176,Bull,1.1281,1.1255,1.1279,321,Bear,1.1468,1.1443,1.1458,326,Bull,1.1429,1.1403,1.1419,364,Bear,1.1547,1.154,1.1541,2020-07-07 17:00:00,2020-07-09 12:00:00,2020-07-10 15:00:00,2020-07-20 16:00:00,2020-07-20 21:00:00,2020-07-22 11:00:00,366,1.1544,1.1535,1.154,2020-07-22 13:00:00
6,176,Bull,1.1281,1.1255,1.1279,209,Bear,1.1375,1.1358,1.1368,224,Bull,1.1344,1.1325,1.1331,254,Bear,1.1452,1.1426,1.1427,284,Bull,1.1384,1.1371,1.1382,364,Bear,1.1547,1.154,1.1541,2020-07-10 15:00:00,2020-07-14 00:00:00,2020-07-14 15:00:00,2020-07-15 21:00:00,2020-07-17 03:00:00,2020-07-22 11:00:00,366,1.1544,1.1535,1.154,2020-07-22 13:00:00
7,176,Bull,1.1281,1.1255,1.1279,209,Bear,1.1375,1.1358,1.1368,224,Bull,1.1344,1.1325,1.1331,321,Bear,1.1468,1.1443,1.1458,326,Bull,1.1429,1.1403,1.1419,364,Bear,1.1547,1.154,1.1541,2020-07-10 15:00:00,2020-07-14 00:00:00,2020-07-14 15:00:00,2020-07-20 16:00:00,2020-07-20 21:00:00,2020-07-22 11:00:00,366,1.1544,1.1535,1.154,2020-07-22 13:00:00
8,176,Bull,1.1281,1.1255,1.1279,209,Bear,1.1375,1.1358,1.1368,224,Bull,1.1344,1.1325,1.1331,321,Bear,1.1468,1.1443,1.1458,326,Bull,1.1429,1.1403,1.1419,374,Bear,1.1601,1.1578,1.1591,2020-07-10 15:00:00,2020-07-14 00:00:00,2020-07-14 15:00:00,2020-07-20 16:00:00,2020-07-20 21:00:00,2020-07-22 21:00:00,378,1.1582,1.1565,1.1569,2020-07-23 01:00:00
9,176,Bull,1.1281,1.1255,1.1279,209,Bear,1.1375,1.1358,1.1368,224,Bull,1.1344,1.1325,1.1331,364,Bear,1.1547,1.154,1.1541,369,Bull,1.1532,1.1507,1.1522,374,Bear,1.1601,1.1578,1.1591,2020-07-10 15:00:00,2020-07-14 00:00:00,2020-07-14 15:00:00,2020-07-22 11:00:00,2020-07-22 16:00:00,2020-07-22 21:00:00,378,1.1582,1.1565,1.1569,2020-07-23 01:00:00
