,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,83,Bear,1.3212,1.3143,1.3188,90,Bull,1.3125,1.3095,1.3122,107,Bear,1.317,1.3139,1.3166,135,Bull,1.3041,1.3013,1.3038,160,Bear,1.3097,1.3066,1.307,181,Bull,1.2994,1.2961,1.2984,2020-01-07 16:00:00,2020-01-07 23:00:00,2020-01-08 16:00:00,2020-01-09 20:00:00,2020-01-10 21:00:00,2020-01-13 18:00:00,190,1.3001,1.2994,1.2998,2020-01-14 03:00:00
1,83,Bear,1.3212,1.3143,1.3188,90,Bull,1.3125,1.3095,1.3122,107,Bear,1.317,1.3139,1.3166,135,Bull,1.3041,1.3013,1.3038,160,Bear,1.3097,1.3066,1.307,203,Bull,1.2983,1.2955,1.2971,2020-01-07 16:00:00,2020-01-07 23:00:00,2020-01-08 16:00:00,2020-01-09 20:00:00,2020-01-10 21:00:00,2020-01-14 16:00:00,206,1.3014,1.2979,1.2999,2020-01-14 19:00:00
2,300,Bull,1.2985,1.2962,1.2985,328,Bear,1.3084,1.3049,1.3074,342,Bull,1.3044,1.3035,1.3038,353,Bear,1.3153,1.3127,1.3128,379,Bull,1.312,1.3097,1.3104,396,Bear,1.3175,1.3086,1.3094,2020-01-20 17:00:00,2020-01-21 21:00:00,2020-01-22 11:00:00,2020-01-22 22:00:00,2020-01-24 00:00:00,2020-01-24 17:00:00,402,1.31,1.3057,1.3068,2020-01-24 23:00:00
3,353,Bear,1.3153,1.3127,1.3128,379,Bull,1.312,1.3097,1.3104,396,Bear,1.3175,1.3086,1.3094,414,Bull,1.3059,1.3052,1.3058,420,Bear,1.3105,1.3066,1.3096,428,Bull,1.306,1.304,1.3058,2020-01-22 22:00:00,2020-01-24 00:00:00,2020-01-24 17:00:00,2020-01-27 11:00:00,2020-01-27 17:00:00,2020-01-28 01:00:00,433,1.3063,1.305,1.306,2020-01-28 06:00:00
4,1139,Bear,1.32,1.3093,1.319,1187,Bull,1.2938,1.2829,1.29,1189,Bear,1.2977,1.2922,1.296,1220,Bull,1.2601,1.2491,1.2597,1236,Bear,1.2625,1.2572,1.2593,1269,Bull,1.2259,1.2202,1.2234,2020-03-09 15:00:00,2020-03-11 15:00:00,2020-03-11 17:00:00,2020-03-13 00:00:00,2020-03-13 16:00:00,2020-03-17 01:00:00,1272,1.2275,1.2232,1.2271,2020-03-17 04:00:00
5,1139,Bear,1.32,1.3093,1.319,1187,Bull,1.2938,1.2829,1.29,1189,Bear,1.2977,1.2922,1.296,1220,Bull,1.2601,1.2491,1.2597,1236,Bear,1.2625,1.2572,1.2593,1292,Bull,1.2058,1.2002,1.2047,2020-03-09 15:00:00,2020-03-11 15:00:00,2020-03-11 17:00:00,2020-03-13 00:00:00,2020-03-13 16:00:00,2020-03-18 00:00:00,1294,1.2115,1.2074,1.2092,2020-03-18 02:00:00
6,1139,Bear,1.32,1.3093,1.319,1187,Bull,1.2938,1.2829,1.29,1189,Bear,1.2977,1.2922,1.296,1292,Bull,1.2058,1.2002,1.2047,1302,Bear,1.213,1.2121,1.2122,1346,Bull,1.147,1.1412,1.1435,2020-03-09 15:00:00,2020-03-11 15:00:00,2020-03-11 17:00:00,2020-03-18 00:00:00,2020-03-18 10:00:00,2020-03-20 06:00:00,1348,1.155,1.1477,1.1531,2020-03-20 08:00:00
7,1189,Bear,1.2977,1.2922,1.296,1220,Bull,1.2601,1.2491,1.2597,1236,Bear,1.2625,1.2572,1.2593,1292,Bull,1.2058,1.2002,1.2047,1302,Bear,1.213,1.2121,1.2122,1346,Bull,1.147,1.1412,1.1435,2020-03-11 17:00:00,2020-03-13 00:00:00,2020-03-13 16:00:00,2020-03-18 00:00:00,2020-03-18 10:00:00,2020-03-20 06:00:00,1348,1.155,1.1477,1.1531,2020-03-20 08:00:00
8,1531,Bear,1.2473,1.2384,1.245,1546,Bull,1.2385,1.233,1.2343,1574,Bear,1.2475,1.244,1.2448,1603,Bull,1.2261,1.2205,1.2225,1623,Bear,1.2327,1.2298,1.2312,1634,Bull,1.2235,1.2166,1.2196,2020-03-31 23:00:00,2020-04-01 14:00:00,2020-04-02 18:00:00,2020-04-03 23:00:00,2020-04-06 19:00:00,2020-04-07 06:00:00,1637,1.2275,1.2224,1.227,2020-04-07 09:00:00
9,1634,Bull,1.2235,1.2166,1.2196,1648,Bear,1.2385,1.2343,1.237,1666,Bull,1.2343,1.2288,1.231,1719,Bear,1.2487,1.2475,1.2482,1728,Bull,1.248,1.245,1.2452,1739,Bear,1.2537,1.2504,1.2507,2020-04-07 06:00:00,2020-04-07 20:00:00,2020-04-08 14:00:00,2020-04-10 19:00:00,2020-04-11 04:00:00,2020-04-13 15:00:00,1742,1.2508,1.248,1.2481,2020-04-13 18:00:00
