,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,25,Bull,1.261,1.2441,1.2473,61,Bear,1.2695,1.2666,1.2677,66,Bull,1.2723,1.2617,1.2723,106,Bear,1.2798,1.276,1.2763,118,Bull,1.2719,1.2707,1.2718,188,Bear,1.2866,1.2834,1.286,2019-01-03 06:00:00,2019-01-04 18:00:00,2019-01-04 23:00:00,2019-01-08 15:00:00,2019-01-09 03:00:00,2019-01-12 01:00:00,202,1.2859,1.2821,1.2839,2019-01-14 15:00:00
1,25,Bull,1.261,1.2441,1.2473,61,Bear,1.2695,1.2666,1.2677,66,Bull,1.2723,1.2617,1.2723,188,Bear,1.2866,1.2834,1.286,203,Bull,1.2846,1.2819,1.2824,210,Bear,1.2931,1.2846,1.2911,2019-01-03 06:00:00,2019-01-04 18:00:00,2019-01-04 23:00:00,2019-01-12 01:00:00,2019-01-14 16:00:00,2019-01-14 23:00:00,230,1.2863,1.283,1.2862,2019-01-15 19:00:00
2,25,Bull,1.261,1.2441,1.2473,61,Bear,1.2695,1.2666,1.2677,66,Bull,1.2723,1.2617,1.2723,210,Bear,1.2931,1.2846,1.2911,238,Bull,1.2837,1.267,1.2835,286,Bear,1.3001,1.2972,1.2988,2019-01-03 06:00:00,2019-01-04 18:00:00,2019-01-04 23:00:00,2019-01-14 23:00:00,2019-01-16 03:00:00,2019-01-18 03:00:00,298,1.298,1.2952,1.2955,2019-01-18 15:00:00
3,25,Bull,1.261,1.2441,1.2473,61,Bear,1.2695,1.2666,1.2677,66,Bull,1.2723,1.2617,1.2723,210,Bear,1.2931,1.2846,1.2911,275,Bull,1.2877,1.2832,1.2867,286,Bear,1.3001,1.2972,1.2988,2019-01-03 06:00:00,2019-01-04 18:00:00,2019-01-04 23:00:00,2019-01-14 23:00:00,2019-01-17 16:00:00,2019-01-18 03:00:00,298,1.298,1.2952,1.2955,2019-01-18 15:00:00
4,25,Bull,1.261,1.2441,1.2473,106,Bear,1.2798,1.276,1.2763,118,Bull,1.2719,1.2707,1.2718,188,Bear,1.2866,1.2834,1.286,203,Bull,1.2846,1.2819,1.2824,210,Bear,1.2931,1.2846,1.2911,2019-01-03 06:00:00,2019-01-08 15:00:00,2019-01-09 03:00:00,2019-01-12 01:00:00,2019-01-14 16:00:00,2019-01-14 23:00:00,230,1.2863,1.283,1.2862,2019-01-15 19:00:00
5,66,Bull,1.2723,1.2617,1.2723,106,Bear,1.2798,1.276,1.2763,118,Bull,1.2719,1.2707,1.2718,188,Bear,1.2866,1.2834,1.286,203,Bull,1.2846,1.2819,1.2824,210,Bear,1.2931,1.2846,1.2911,2019-01-04 23:00:00,2019-01-08 15:00:00,2019-01-09 03:00:00,2019-01-12 01:00:00,2019-01-14 16:00:00,2019-01-14 23:00:00,230,1.2863,1.283,1.2862,2019-01-15 19:00:00
6,238,Bull,1.2837,1.267,1.2835,286,Bear,1.3001,1.2972,1.2988,324,Bull,1.2851,1.2831,1.2835,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-16 03:00:00,2019-01-18 03:00:00,2019-01-21 17:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
7,238,Bull,1.2837,1.267,1.2835,286,Bear,1.3001,1.2972,1.2988,346,Bull,1.2878,1.2855,1.2869,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-16 03:00:00,2019-01-18 03:00:00,2019-01-22 15:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
8,238,Bull,1.2837,1.267,1.2835,286,Bear,1.3001,1.2972,1.2988,369,Bull,1.2964,1.2942,1.2963,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-16 03:00:00,2019-01-18 03:00:00,2019-01-23 14:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
9,275,Bull,1.2877,1.2832,1.2867,286,Bear,1.3001,1.2972,1.2988,324,Bull,1.2851,1.2831,1.2835,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-17 16:00:00,2019-01-18 03:00:00,2019-01-21 17:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
10,275,Bull,1.2877,1.2832,1.2867,286,Bear,1.3001,1.2972,1.2988,346,Bull,1.2878,1.2855,1.2869,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-17 16:00:00,2019-01-18 03:00:00,2019-01-22 15:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
11,275,Bull,1.2877,1.2832,1.2867,286,Bear,1.3001,1.2972,1.2988,369,Bull,1.2964,1.2942,1.2963,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-17 16:00:00,2019-01-18 03:00:00,2019-01-23 14:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
12,324,Bull,1.2851,1.2831,1.2835,331,Bear,1.2911,1.2889,1.2901,346,Bull,1.2878,1.2855,1.2869,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-21 17:00:00,2019-01-22 00:00:00,2019-01-22 15:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
13,324,Bull,1.2851,1.2831,1.2835,358,Bear,1.2976,1.2957,1.2959,369,Bull,1.2964,1.2942,1.2963,387,Bear,1.3094,1.3078,1.3083,400,Bull,1.3044,1.3012,1.3036,416,Bear,1.3139,1.3115,1.3128,2019-01-21 17:00:00,2019-01-23 03:00:00,2019-01-23 14:00:00,2019-01-24 08:00:00,2019-01-24 21:00:00,2019-01-25 13:00:00,418,1.3121,1.3097,1.3103,2019-01-25 15:00:00
