Date,open,high,low,close,spread
2010-07-01 00:00:00+00:00,1.49575,1.497475,1.493325,1.49475,0.0001891581
2010-07-01 01:00:00+00:00,1.494775,1.4954,1.491425,1.49165,0.00020533639
2010-07-01 02:00:00+00:00,1.491675,1.49375,1.4914,1.4933,0.00018797119
2010-07-01 03:00:00+00:00,1.4933,1.4939001,1.492125,1.492775,0.00018817959
2010-07-01 04:00:00+00:00,1.492775,1.49545,1.492625,1.4933751,0.00019615892
2010-07-01 05:00:00+00:00,1.4934249,1.4951,1.492425,1.492825,0.00020702355
2010-07-01 06:00:00+00:00,1.492825,1.493,1.4887,1.4904001,0.00017334594
2010-07-01 07:00:00+00:00,1.490425,1.4916251,1.487375,1.49,0.00016648353
2010-07-01 08:00:00+00:00,1.489975,1.494575,1.4899,1.491825,0.00016770241
2010-07-01 09:00:00+00:00,1.491825,1.4934499,1.489275,1.491125,0.00016863052
2010-07-01 10:00:00+00:00,1.49115,1.49785,1.49115,1.497275,0.00016795442
2010-07-01 11:00:00+00:00,1.4972999,1.49905,1.495325,1.4983001,0.00016340008
2010-07-01 12:00:00+00:00,1.4983001,1.50685,1.497625,1.5059,0.00017147542
2010-07-01 13:00:00+00:00,1.5059,1.51065,1.5045,1.5102999,0.0001704356
2010-07-01 14:00:00+00:00,1.5102,1.5143499,1.5084751,1.511475,0.00016502233
2010-07-01 15:00:00+00:00,1.5113499,1.51675,1.511325,1.5123501,0.0001777693
2010-07-01 16:00:00+00:00,1.51255,1.51275,1.5076749,1.51005,0.00020461694
2010-07-01 17:00:00+00:00,1.51005,1.5132,1.510025,1.5120001,0.0002156914
2010-07-01 18:00:00+00:00,1.512025,1.515075,1.51115,1.515075,0.00021342728
2010-07-01 19:00:00+00:00,1.515075,1.5188999,1.51415,1.518225,0.00022638674
2010-07-01 20:00:00+00:00,1.5182,1.519075,1.5171499,1.517625,0.00022086354
2010-07-01 21:00:00+00:00,1.5176,1.51775,1.51618,1.5166,0.00034541127
2010-07-01 22:00:00+00:00,1.5166,1.5171,1.5155749,1.51635,0.00032945172
2010-07-01 23:00:00+00:00,1.5163,1.5167999,1.51539,1.51635,0.00021615042
2010-07-02 00:00:00+00:00,1.51635,1.519825,1.5159249,1.516875,0.00018329127
2010-07-02 01:00:00+00:00,1.517025,1.518475,1.5164,1.5177,0.00018329795
2010-07-02 02:00:00+00:00,1.517725,1.518275,1.5170751,1.5181999,0.00018168752
2010-07-02 03:00:00+00:00,1.5181999,1.5181999,1.5172501,1.51735,0.00016431283
2010-07-02 04:00:00+00:00,1.5173249,1.517975,1.516925,1.51755,0.00017462634
