,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,187,Bear,1.2813,1.2722,1.2768,247,Bull,1.248,1.2454,1.2463,270,Bear,1.2688,1.2662,1.2668,327,Bull,1.2431,1.2402,1.2419,343,Bear,1.2456,1.2435,1.2449,361,Bull,1.2352,1.2336,1.2348,2020-06-11 02:00:00,2020-06-15 14:00:00,2020-06-16 13:00:00,2020-06-18 22:00:00,2020-06-19 14:00:00,2020-06-22 08:00:00,363,1.2376,1.2362,1.2367,2020-06-22 10:00:00
1,409,Bear,1.2543,1.2524,1.253,436,Bull,1.2417,1.2404,1.2409,441,Bear,1.2464,1.2427,1.2444,471,Bull,1.2361,1.2315,1.232,487,Bear,1.239,1.2371,1.2377,496,Bull,1.2279,1.2252,1.2278,2020-06-24 08:00:00,2020-06-25 11:00:00,2020-06-25 16:00:00,2020-06-26 22:00:00,2020-06-29 14:00:00,2020-06-29 23:00:00,499,1.2294,1.2284,1.2286,2020-06-30 02:00:00
2,584,Bull,1.2487,1.2438,1.2459,614,Bear,1.252,1.2505,1.2506,634,Bull,1.2479,1.2463,1.2477,640,Bear,1.2592,1.257,1.2571,658,Bull,1.2533,1.2509,1.2526,667,Bear,1.2623,1.2611,1.2622,2020-07-03 15:00:00,2020-07-06 21:00:00,2020-07-07 17:00:00,2020-07-07 23:00:00,2020-07-08 17:00:00,2020-07-09 02:00:00,670,1.2615,1.2603,1.2613,2020-07-09 05:00:00
3,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,898,Bull,1.2676,1.2644,1.2675,938,Bear,1.2774,1.2748,1.2757,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-22 17:00:00,2020-07-24 09:00:00,941,1.2746,1.2729,1.2733,2020-07-24 12:00:00
4,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,926,Bull,1.2723,1.2673,1.2723,938,Bear,1.2774,1.2748,1.2757,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-23 21:00:00,2020-07-24 09:00:00,941,1.2746,1.2729,1.2733,2020-07-24 12:00:00
5,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,898,Bull,1.2676,1.2644,1.2675,955,Bear,1.2804,1.2789,1.2789,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-22 17:00:00,2020-07-25 02:00:00,958,1.2797,1.2781,1.2792,2020-07-27 05:00:00
6,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,926,Bull,1.2723,1.2673,1.2723,955,Bear,1.2804,1.2789,1.2789,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-23 21:00:00,2020-07-25 02:00:00,958,1.2797,1.2781,1.2792,2020-07-27 05:00:00
7,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,938,Bear,1.2774,1.2748,1.2757,945,Bull,1.2747,1.2717,1.2729,955,Bear,1.2804,1.2789,1.2789,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-24 09:00:00,2020-07-24 16:00:00,2020-07-25 02:00:00,958,1.2797,1.2781,1.2792,2020-07-27 05:00:00
8,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,898,Bull,1.2676,1.2644,1.2675,964,Bear,1.2859,1.2842,1.2842,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-22 17:00:00,2020-07-27 11:00:00,966,1.2838,1.2821,1.2826,2020-07-27 13:00:00
9,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,926,Bull,1.2723,1.2673,1.2723,964,Bear,1.2859,1.2842,1.2842,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-23 21:00:00,2020-07-27 11:00:00,966,1.2838,1.2821,1.2826,2020-07-27 13:00:00
10,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,938,Bear,1.2774,1.2748,1.2757,945,Bull,1.2747,1.2717,1.2729,964,Bear,1.2859,1.2842,1.2842,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-24 09:00:00,2020-07-24 16:00:00,2020-07-27 11:00:00,966,1.2838,1.2821,1.2826,2020-07-27 13:00:00
11,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,898,Bull,1.2676,1.2644,1.2675,986,Bear,1.2905,1.2883,1.2887,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-22 17:00:00,2020-07-28 09:00:00,988,1.288,1.2846,1.2854,2020-07-28 11:00:00
12,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,926,Bull,1.2723,1.2673,1.2723,986,Bear,1.2905,1.2883,1.2887,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-23 21:00:00,2020-07-28 09:00:00,988,1.288,1.2846,1.2854,2020-07-28 11:00:00
13,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,938,Bear,1.2774,1.2748,1.2757,945,Bull,1.2747,1.2717,1.2729,986,Bear,1.2905,1.2883,1.2887,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-24 09:00:00,2020-07-24 16:00:00,2020-07-28 09:00:00,988,1.288,1.2846,1.2854,2020-07-28 11:00:00
14,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,883,Bear,1.2768,1.2751,1.2758,926,Bull,1.2723,1.2673,1.2723,1002,Bear,1.2953,1.294,1.2949,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-22 02:00:00,2020-07-23 21:00:00,2020-07-29 01:00:00,1004,1.2949,1.2932,1.2933,2020-07-29 03:00:00
15,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,938,Bear,1.2774,1.2748,1.2757,945,Bull,1.2747,1.2717,1.2729,1002,Bear,1.2953,1.294,1.2949,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-24 09:00:00,2020-07-24 16:00:00,2020-07-29 01:00:00,1004,1.2949,1.2932,1.2933,2020-07-29 03:00:00
16,758,Bull,1.2522,1.248,1.251,782,Bear,1.265,1.2604,1.2606,829,Bull,1.2552,1.2512,1.2516,986,Bear,1.2905,1.2883,1.2887,992,Bull,1.2874,1.2838,1.285,1002,Bear,1.2953,1.294,1.2949,2020-07-14 21:00:00,2020-07-15 21:00:00,2020-07-17 20:00:00,2020-07-28 09:00:00,2020-07-28 15:00:00,2020-07-29 01:00:00,1004,1.2949,1.2932,1.2933,2020-07-29 03:00:00
