,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,34,Bear,1.1322,1.129,1.1307,56,Bull,1.1285,1.1269,1.1277,63,Bear,1.1312,1.128,1.1281,111,Bull,1.1226,1.1207,1.1222,129,Bear,1.1234,1.1229,1.1231,154,Bull,1.1205,1.1193,1.1204,2019-07-02 17:00:00,2019-07-03 15:00:00,2019-07-03 22:00:00,2019-07-05 22:00:00,2019-07-08 16:00:00,2019-07-09 17:00:00,158,1.121,1.1202,1.1207,2019-07-09 21:00:00
1,248,Bear,1.1284,1.1271,1.128,295,Bull,1.1216,1.12,1.1202,335,Bear,1.1282,1.124,1.1249,445,Bull,1.1161,1.1101,1.1155,447,Bear,1.1188,1.1158,1.116,564,Bull,1.1042,1.1027,1.1034,2019-07-15 15:00:00,2019-07-17 14:00:00,2019-07-19 06:00:00,2019-07-25 20:00:00,2019-07-25 22:00:00,2019-08-01 19:00:00,567,1.1062,1.1043,1.1058,2019-08-01 22:00:00
2,248,Bear,1.1284,1.1271,1.128,295,Bull,1.1216,1.12,1.1202,335,Bear,1.1282,1.124,1.1249,445,Bull,1.1161,1.1101,1.1155,535,Bear,1.1162,1.1155,1.1155,564,Bull,1.1042,1.1027,1.1034,2019-07-15 15:00:00,2019-07-17 14:00:00,2019-07-19 06:00:00,2019-07-25 20:00:00,2019-07-31 14:00:00,2019-08-01 19:00:00,567,1.1062,1.1043,1.1058,2019-08-01 22:00:00
3,248,Bear,1.1284,1.1271,1.128,295,Bull,1.1216,1.12,1.1202,374,Bear,1.1225,1.1216,1.1224,445,Bull,1.1161,1.1101,1.1155,447,Bear,1.1188,1.1158,1.116,564,Bull,1.1042,1.1027,1.1034,2019-07-15 15:00:00,2019-07-17 14:00:00,2019-07-22 21:00:00,2019-07-25 20:00:00,2019-07-25 22:00:00,2019-08-01 19:00:00,567,1.1062,1.1043,1.1058,2019-08-01 22:00:00
4,248,Bear,1.1284,1.1271,1.128,295,Bull,1.1216,1.12,1.1202,374,Bear,1.1225,1.1216,1.1224,445,Bull,1.1161,1.1101,1.1155,535,Bear,1.1162,1.1155,1.1155,564,Bull,1.1042,1.1027,1.1034,2019-07-15 15:00:00,2019-07-17 14:00:00,2019-07-22 21:00:00,2019-07-25 20:00:00,2019-07-31 14:00:00,2019-08-01 19:00:00,567,1.1062,1.1043,1.1058,2019-08-01 22:00:00
5,625,Bear,1.125,1.124,1.1243,638,Bull,1.1184,1.1168,1.1173,665,Bear,1.1242,1.1226,1.1227,788,Bull,1.1142,1.1131,1.1134,803,Bear,1.1158,1.115,1.1154,829,Bull,1.1082,1.1066,1.1074,2019-08-06 08:00:00,2019-08-06 21:00:00,2019-08-08 00:00:00,2019-08-15 03:00:00,2019-08-15 18:00:00,2019-08-16 20:00:00,849,1.111,1.11,1.1103,2019-08-19 16:00:00
6,625,Bear,1.125,1.124,1.1243,638,Bull,1.1184,1.1168,1.1173,687,Bear,1.1232,1.1193,1.12,788,Bull,1.1142,1.1131,1.1134,803,Bear,1.1158,1.115,1.1154,829,Bull,1.1082,1.1066,1.1074,2019-08-06 08:00:00,2019-08-06 21:00:00,2019-08-08 22:00:00,2019-08-15 03:00:00,2019-08-15 18:00:00,2019-08-16 20:00:00,849,1.111,1.11,1.1103,2019-08-19 16:00:00
7,625,Bear,1.125,1.124,1.1243,729,Bull,1.1178,1.1162,1.1176,736,Bear,1.1231,1.121,1.1211,788,Bull,1.1142,1.1131,1.1134,803,Bear,1.1158,1.115,1.1154,829,Bull,1.1082,1.1066,1.1074,2019-08-06 08:00:00,2019-08-12 16:00:00,2019-08-12 23:00:00,2019-08-15 03:00:00,2019-08-15 18:00:00,2019-08-16 20:00:00,849,1.111,1.11,1.1103,2019-08-19 16:00:00
8,625,Bear,1.125,1.124,1.1243,729,Bull,1.1178,1.1162,1.1176,757,Bear,1.1229,1.1206,1.1217,788,Bull,1.1142,1.1131,1.1134,803,Bear,1.1158,1.115,1.1154,829,Bull,1.1082,1.1066,1.1074,2019-08-06 08:00:00,2019-08-12 16:00:00,2019-08-13 20:00:00,2019-08-15 03:00:00,2019-08-15 18:00:00,2019-08-16 20:00:00,849,1.111,1.11,1.1103,2019-08-19 16:00:00
9,665,Bear,1.1242,1.1226,1.1227,685,Bull,1.1205,1.1181,1.1204,687,Bear,1.1232,1.1193,1.12,788,Bull,1.1142,1.1131,1.1134,803,Bear,1.1158,1.115,1.1154,829,Bull,1.1082,1.1066,1.1074,2019-08-08 00:00:00,2019-08-08 20:00:00,2019-08-08 22:00:00,2019-08-15 03:00:00,2019-08-15 18:00:00,2019-08-16 20:00:00,849,1.111,1.11,1.1103,2019-08-19 16:00:00
