Date,open,high,low,close,spread
2011-07-01 00:00:00+00:00,1.447485,1.4486649,1.4472499,1.4479351,9.22235e-05
2011-07-01 01:00:00+00:00,1.447945,1.4495599,1.4467349,1.449275,9.0420144e-05
2011-07-01 02:00:00+00:00,1.44928,1.4498701,1.4486051,1.4498401,9.054352e-05
2011-07-01 03:00:00+00:00,1.44983,1.4498701,1.4486549,1.449345,0.000100322075
2011-07-01 04:00:00+00:00,1.44935,1.451855,1.4490299,1.4514749,9.517501e-05
2011-07-01 05:00:00+00:00,1.4514849,1.45263,1.451185,1.451515,8.987947e-05
2011-07-01 06:00:00+00:00,1.451525,1.455075,1.4513049,1.45363,8.29225e-05
2011-07-01 07:00:00+00:00,1.453635,1.45436,1.45069,1.4509599,7.733702e-05
2011-07-01 08:00:00+00:00,1.4509499,1.453135,1.450285,1.4528899,7.348085e-05
2011-07-01 09:00:00+00:00,1.4528649,1.453865,1.448065,1.4496651,7.580731e-05
2011-07-01 10:00:00+00:00,1.4496601,1.45362,1.4487,1.44876,7.288387e-05
2011-07-01 11:00:00+00:00,1.44871,1.44982,1.44789,1.4486301,7.714168e-05
2011-07-01 12:00:00+00:00,1.4486301,1.450325,1.448215,1.4484799,7.4890006e-05
2011-07-01 13:00:00+00:00,1.44847,1.448575,1.4456849,1.4469349,7.418563e-05
2011-07-01 14:00:00+00:00,1.4469,1.4513249,1.4438701,1.4482701,7.2370385e-05
2011-07-01 15:00:00+00:00,1.4482651,1.45244,1.448195,1.4507749,7.5076605e-05
2011-07-01 16:00:00+00:00,1.4507849,1.45115,1.449955,1.4510751,7.6820725e-05
2011-07-01 17:00:00+00:00,1.45105,1.451745,1.450815,1.45137,7.5984244e-05
2011-07-01 18:00:00+00:00,1.45135,1.45135,1.449965,1.4510751,7.869834e-05
2011-07-01 19:00:00+00:00,1.4510751,1.4530649,1.450975,1.452765,9.205104e-05
2011-07-01 20:00:00+00:00,1.4528,1.45337,1.45239,1.452695,0.00012335287
2011-07-01 21:00:00+00:00,,,,,
2011-07-01 22:00:00+00:00,,,,,
2011-07-01 23:00:00+00:00,,,,,
2011-07-02 00:00:00+00:00,,,,,
2011-07-02 01:00:00+00:00,,,,,
2011-07-02 02:00:00+00:00,,,,,
2011-07-02 03:00:00+00:00,,,,,
2011-07-02 04:00:00+00:00,,,,,
2011-07-02 05:00:00+00:00,,,,,
2011-07-02 06:00:00+00:00,,,,,
2011-07-02 07:00:00+00:00,,,,,
2011-07-02 08:00:00+00:00,,,,,
2011-07-02 09:00:00+00:00,,,,,
2011-07-02 10:00:00+00:00,,,,,
2011-07-02 11:00:00+00:00,,,,,
2011-07-02 12:00:00+00:00,,,,,
2011-07-02 13:00:00+00:00,,,,,
2011-07-02 14:00:00+00:00,,,,,
2011-07-02 15:00:00+00:00,,,,,
2011-07-02 16:00:00+00:00,,,,,
2011-07-02 17:00:00+00:00,,,,,
2011-07-02 18:00:00+00:00,,,,,
2011-07-02 19:00:00+00:00,,,,,
2011-07-02 20:00:00+00:00,,,,,
2011-07-02 21:00:00+00:00,,,,,
2011-07-02 22:00:00+00:00,,,,,
2011-07-02 23:00:00+00:00,,,,,
2011-07-03 00:00:00+00:00,,,,,
2011-07-03 01:00:00+00:00,,,,,
2011-07-03 02:00:00+00:00,,,,,
2011-07-03 03:00:00+00:00,,,,,
2011-07-03 04:00:00+00:00,,,,,
2011-07-03 05:00:00+00:00,,,,,
2011-07-03 06:00:00+00:00,,,,,
2011-07-03 07:00:00+00:00,,,,,
2011-07-03 08:00:00+00:00,,,,,
2011-07-03 09:00:00+00:00,,,,,
2011-07-03 10:00:00+00:00,,,,,
2011-07-03 11:00:00+00:00,,,,,
2011-07-03 12:00:00+00:00,,,,,
2011-07-03 13:00:00+00:00,,,,,
2011-07-03 14:00:00+00:00,,,,,
2011-07-03 15:00:00+00:00,,,,,
2011-07-03 16:00:00+00:00,,,,,
2011-07-03 17:00:00+00:00,,,,,
2011-07-03 18:00:00+00:00,,,,,
2011-07-03 19:00:00+00:00,,,,,
2011-07-03 20:00:00+00:00,,,,,
2011-07-03 21:00:00+00:00,1.4532051,1.4546,1.4532051,1.454385,0.00026125633
2011-07-03 22:00:00+00:00,1.454375,1.454775,1.45339,1.453915,0.00014540288
2011-07-03 23:00:00+00:00,1.45393,1.4577949,1.45393,1.45637,0.00012211574
2011-07-04 00:00:00+00:00,1.45637,1.4565899,1.4549501,1.45557,9.149088e-05
2011-07-04 01:00:00+00:00,1.4556,1.4558749,1.453855,1.45474,9.531011e-05
2011-07-04 02:00:00+00:00,1.4547501,1.455905,1.4546399,1.4556501,8.9068446e-05
2011-07-04 03:00:00+00:00,1.4556501,1.456785,1.4553449,1.4561751,8.921883e-05
2011-07-04 04:00:00+00:00,1.4561751,1.4563401,1.455265,1.4554851,8.950445e-05
2011-07-04 05:00:00+00:00,1.4554901,1.4555099,1.451195,1.45259,9.2453214e-05
2011-07-04 06:00:00+00:00,1.452595,1.4560399,1.4514999,1.4551251,7.672052e-05
2011-07-04 07:00:00+00:00,1.4551101,1.4551549,1.4521849,1.45259,7.213151e-05
2011-07-04 08:00:00+00:00,1.452595,1.4537599,1.4518449,1.45296,7.39271e-05
2011-07-04 09:00:00+00:00,1.452975,1.4541099,1.4516251,1.452285,7.1571536e-05
2011-07-04 10:00:00+00:00,1.45228,1.452935,1.45137,1.451925,7.2734525e-05
2011-07-04 11:00:00+00:00,1.45193,1.45224,1.44957,1.449825,7.7809134e-05
2011-07-04 12:00:00+00:00,1.449825,1.451025,1.449685,1.4503951,7.815206e-05
2011-07-04 13:00:00+00:00,1.4503901,1.4519899,1.450275,1.4516001,7.828892e-05
2011-07-04 14:00:00+00:00,1.45163,1.45241,1.450985,1.45115,7.122692e-05
2011-07-04 15:00:00+00:00,1.45116,1.45238,1.4504449,1.452065,6.9286245e-05
2011-07-04 16:00:00+00:00,1.45206,1.4537749,1.45188,1.45298,7.801365e-05
2011-07-04 17:00:00+00:00,1.452975,1.45361,1.452325,1.453085,8.009621e-05
2011-07-04 18:00:00+00:00,1.4530749,1.45484,1.4527249,1.4547801,8.468749e-05
2011-07-04 19:00:00+00:00,1.45479,1.45492,1.4530599,1.453265,9.1740934e-05
2011-07-04 20:00:00+00:00,1.45327,1.4541299,1.452915,1.454025,0.00013453478
2011-07-04 21:00:00+00:00,1.454015,1.4545801,1.45353,1.454025,0.00018142766
2011-07-04 22:00:00+00:00,1.454065,1.455225,1.453285,1.4550099,0.00015043776
2011-07-04 23:00:00+00:00,1.4549501,1.4553499,1.45385,1.454205,0.00010121672
