,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,115,Bear,1.2763,1.2737,1.2739,136,Bull,1.268,1.2653,1.2676,184,Bear,1.2759,1.2738,1.2741,251,Bull,1.2585,1.2572,1.2578,256,Bear,1.2606,1.2588,1.2602,265,Bull,1.2538,1.2531,1.2537,2019-06-07 23:00:00,2019-06-10 20:00:00,2019-06-12 20:00:00,2019-06-17 15:00:00,2019-06-17 20:00:00,2019-06-18 05:00:00,267,1.2542,1.2537,1.2541,2019-06-18 07:00:00
1,115,Bear,1.2763,1.2737,1.2739,136,Bull,1.268,1.2653,1.2676,184,Bear,1.2759,1.2738,1.2741,251,Bull,1.2585,1.2572,1.2578,256,Bear,1.2606,1.2588,1.2602,280,Bull,1.2526,1.2506,1.2523,2019-06-07 23:00:00,2019-06-10 20:00:00,2019-06-12 20:00:00,2019-06-17 15:00:00,2019-06-17 20:00:00,2019-06-18 20:00:00,282,1.2543,1.2511,1.2542,2019-06-18 22:00:00
2,115,Bear,1.2763,1.2737,1.2739,136,Bull,1.268,1.2653,1.2676,208,Bear,1.2708,1.2674,1.2692,251,Bull,1.2585,1.2572,1.2578,256,Bear,1.2606,1.2588,1.2602,265,Bull,1.2538,1.2531,1.2537,2019-06-07 23:00:00,2019-06-10 20:00:00,2019-06-13 20:00:00,2019-06-17 15:00:00,2019-06-17 20:00:00,2019-06-18 05:00:00,267,1.2542,1.2537,1.2541,2019-06-18 07:00:00
3,115,Bear,1.2763,1.2737,1.2739,136,Bull,1.268,1.2653,1.2676,208,Bear,1.2708,1.2674,1.2692,251,Bull,1.2585,1.2572,1.2578,256,Bear,1.2606,1.2588,1.2602,280,Bull,1.2526,1.2506,1.2523,2019-06-07 23:00:00,2019-06-10 20:00:00,2019-06-13 20:00:00,2019-06-17 15:00:00,2019-06-17 20:00:00,2019-06-18 20:00:00,282,1.2543,1.2511,1.2542,2019-06-18 22:00:00
4,184,Bear,1.2759,1.2738,1.2741,203,Bull,1.2683,1.2662,1.2679,208,Bear,1.2708,1.2674,1.2692,251,Bull,1.2585,1.2572,1.2578,256,Bear,1.2606,1.2588,1.2602,265,Bull,1.2538,1.2531,1.2537,2019-06-12 20:00:00,2019-06-13 15:00:00,2019-06-13 20:00:00,2019-06-17 15:00:00,2019-06-17 20:00:00,2019-06-18 05:00:00,267,1.2542,1.2537,1.2541,2019-06-18 07:00:00
5,184,Bear,1.2759,1.2738,1.2741,203,Bull,1.2683,1.2662,1.2679,208,Bear,1.2708,1.2674,1.2692,251,Bull,1.2585,1.2572,1.2578,256,Bear,1.2606,1.2588,1.2602,280,Bull,1.2526,1.2506,1.2523,2019-06-12 20:00:00,2019-06-13 15:00:00,2019-06-13 20:00:00,2019-06-17 15:00:00,2019-06-17 20:00:00,2019-06-18 20:00:00,282,1.2543,1.2511,1.2542,2019-06-18 22:00:00
6,280,Bull,1.2526,1.2506,1.2523,292,Bear,1.257,1.256,1.2564,299,Bull,1.2559,1.2543,1.2557,326,Bear,1.2727,1.2706,1.2725,351,Bull,1.2664,1.2642,1.2662,370,Bear,1.2767,1.2748,1.2748,2019-06-18 20:00:00,2019-06-19 08:00:00,2019-06-19 15:00:00,2019-06-20 18:00:00,2019-06-21 19:00:00,2019-06-24 14:00:00,377,1.2726,1.2708,1.2716,2019-06-24 21:00:00
7,280,Bull,1.2526,1.2506,1.2523,292,Bear,1.257,1.256,1.2564,299,Bull,1.2559,1.2543,1.2557,326,Bear,1.2727,1.2706,1.2725,351,Bull,1.2664,1.2642,1.2662,394,Bear,1.2784,1.274,1.2783,2019-06-18 20:00:00,2019-06-19 08:00:00,2019-06-19 15:00:00,2019-06-20 18:00:00,2019-06-21 19:00:00,2019-06-25 14:00:00,400,1.2742,1.2718,1.2726,2019-06-25 20:00:00
8,280,Bull,1.2526,1.2506,1.2523,292,Bear,1.257,1.256,1.2564,299,Bull,1.2559,1.2543,1.2557,370,Bear,1.2767,1.2748,1.2748,377,Bull,1.2726,1.2708,1.2716,394,Bear,1.2784,1.274,1.2783,2019-06-18 20:00:00,2019-06-19 08:00:00,2019-06-19 15:00:00,2019-06-24 14:00:00,2019-06-24 21:00:00,2019-06-25 14:00:00,400,1.2742,1.2718,1.2726,2019-06-25 20:00:00
9,394,Bear,1.2784,1.274,1.2783,454,Bull,1.2677,1.2662,1.2664,474,Bear,1.2735,1.2709,1.2727,539,Bull,1.2575,1.2557,1.2572,586,Bear,1.2588,1.2575,1.2577,594,Bull,1.251,1.2481,1.2504,2019-06-25 14:00:00,2019-06-28 02:00:00,2019-06-28 22:00:00,2019-07-03 15:00:00,2019-07-05 14:00:00,2019-07-05 22:00:00,596,1.2516,1.2505,1.2511,2019-07-06 00:00:00
10,394,Bear,1.2784,1.274,1.2783,454,Bull,1.2677,1.2662,1.2664,474,Bear,1.2735,1.2709,1.2727,539,Bull,1.2575,1.2557,1.2572,586,Bear,1.2588,1.2575,1.2577,778,Bull,1.2418,1.2382,1.2384,2019-06-25 14:00:00,2019-06-28 02:00:00,2019-06-28 22:00:00,2019-07-03 15:00:00,2019-07-05 14:00:00,2019-07-17 14:00:00,786,1.2439,1.2418,1.2428,2019-07-17 22:00:00
11,720,Bear,1.2579,1.2571,1.2576,778,Bull,1.2418,1.2382,1.2384,815,Bear,1.2559,1.2534,1.2555,992,Bull,1.2164,1.2119,1.2127,1027,Bear,1.225,1.2208,1.222,1049,Bull,1.2106,1.2079,1.2106,2019-07-13 04:00:00,2019-07-17 14:00:00,2019-07-19 03:00:00,2019-07-30 12:00:00,2019-07-31 23:00:00,2019-08-01 21:00:00,1053,1.2172,1.2129,1.2159,2019-08-02 01:00:00
12,720,Bear,1.2579,1.2571,1.2576,778,Bull,1.2418,1.2382,1.2384,929,Bear,1.2518,1.2484,1.2497,992,Bull,1.2164,1.2119,1.2127,1027,Bear,1.225,1.2208,1.222,1049,Bull,1.2106,1.2079,1.2106,2019-07-13 04:00:00,2019-07-17 14:00:00,2019-07-25 21:00:00,2019-07-30 12:00:00,2019-07-31 23:00:00,2019-08-01 21:00:00,1053,1.2172,1.2129,1.2159,2019-08-02 01:00:00
13,815,Bear,1.2559,1.2534,1.2555,876,Bull,1.2442,1.2418,1.2429,929,Bear,1.2518,1.2484,1.2497,992,Bull,1.2164,1.2119,1.2127,1027,Bear,1.225,1.2208,1.222,1049,Bull,1.2106,1.2079,1.2106,2019-07-19 03:00:00,2019-07-23 16:00:00,2019-07-25 21:00:00,2019-07-30 12:00:00,2019-07-31 23:00:00,2019-08-01 21:00:00,1053,1.2172,1.2129,1.2159,2019-08-02 01:00:00
14,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1235,Bull,1.2064,1.2042,1.2063,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-13 15:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
15,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1253,Bull,1.2059,1.2045,1.2047,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-14 09:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
16,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1272,Bull,1.2058,1.2051,1.2056,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-15 04:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
17,1203,Bull,1.2031,1.2015,1.202,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-12 07:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
18,1235,Bull,1.2064,1.2042,1.2063,1240,Bear,1.2098,1.207,1.2087,1253,Bull,1.2059,1.2045,1.2047,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-13 15:00:00,2019-08-13 20:00:00,2019-08-14 09:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
19,1235,Bull,1.2064,1.2042,1.2063,1263,Bear,1.2101,1.2063,1.2069,1272,Bull,1.2058,1.2051,1.2056,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-13 15:00:00,2019-08-14 19:00:00,2019-08-15 04:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
20,1235,Bull,1.2064,1.2042,1.2063,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-13 15:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
21,1253,Bull,1.2059,1.2045,1.2047,1263,Bear,1.2101,1.2063,1.2069,1272,Bull,1.2058,1.2051,1.2056,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-14 09:00:00,2019-08-14 19:00:00,2019-08-15 04:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
22,1253,Bull,1.2059,1.2045,1.2047,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-14 09:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
23,1272,Bull,1.2058,1.2051,1.2056,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1439,Bear,1.2294,1.2283,1.2283,2019-08-15 04:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-24 03:00:00,1441,1.2275,1.2267,1.2273,2019-08-26 05:00:00
24,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1235,Bull,1.2064,1.2042,1.2063,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-13 15:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
25,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1235,Bull,1.2064,1.2042,1.2063,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-13 15:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
26,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1253,Bull,1.2059,1.2045,1.2047,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-14 09:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
27,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1253,Bull,1.2059,1.2045,1.2047,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-14 09:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
28,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1272,Bull,1.2058,1.2051,1.2056,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-15 04:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
29,1203,Bull,1.2031,1.2015,1.202,1215,Bear,1.2107,1.2081,1.2082,1272,Bull,1.2058,1.2051,1.2056,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-12 19:00:00,2019-08-15 04:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
30,1203,Bull,1.2031,1.2015,1.202,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
31,1203,Bull,1.2031,1.2015,1.202,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-12 07:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
32,1235,Bull,1.2064,1.2042,1.2063,1240,Bear,1.2098,1.207,1.2087,1253,Bull,1.2059,1.2045,1.2047,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-13 15:00:00,2019-08-13 20:00:00,2019-08-14 09:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
33,1235,Bull,1.2064,1.2042,1.2063,1240,Bear,1.2098,1.207,1.2087,1253,Bull,1.2059,1.2045,1.2047,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-13 15:00:00,2019-08-13 20:00:00,2019-08-14 09:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
34,1235,Bull,1.2064,1.2042,1.2063,1263,Bear,1.2101,1.2063,1.2069,1272,Bull,1.2058,1.2051,1.2056,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-13 15:00:00,2019-08-14 19:00:00,2019-08-15 04:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
35,1235,Bull,1.2064,1.2042,1.2063,1263,Bear,1.2101,1.2063,1.2069,1272,Bull,1.2058,1.2051,1.2056,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-13 15:00:00,2019-08-14 19:00:00,2019-08-15 04:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
36,1235,Bull,1.2064,1.2042,1.2063,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1410,Bear,1.2273,1.223,1.2253,1428,Bull,1.2214,1.2194,1.2206,1481,Bear,1.231,1.2272,1.2289,2019-08-13 15:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-22 22:00:00,2019-08-23 16:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
37,1235,Bull,1.2064,1.2042,1.2063,1312,Bear,1.2176,1.2162,1.2168,1359,Bull,1.2086,1.2065,1.2084,1439,Bear,1.2294,1.2283,1.2283,1458,Bull,1.223,1.2208,1.2222,1481,Bear,1.231,1.2272,1.2289,2019-08-13 15:00:00,2019-08-16 20:00:00,2019-08-20 19:00:00,2019-08-24 03:00:00,2019-08-26 22:00:00,2019-08-27 21:00:00,1500,1.2256,1.2156,1.2191,2019-08-28 16:00:00
